2025-05-29 10:01:40.840 [restartedMain] INFO  c.project.ProjectRestApiApplication.logStarting(53) - Starting ProjectRestApiApplication using Java 23.0.2 with PID 26308 (C:\Users\miche\Downloads\project-rest-api\build\classes\java\main started by miche in C:\Users\miche\Downloads\project-rest-api)
2025-05-29 10:01:40.852 [restartedMain] INFO  c.project.ProjectRestApiApplication.logStartupProfileInfo(652) - No active profile set, falling back to 1 default profile: "default"
2025-05-29 10:01:57.425 [restartedMain] INFO  c.project.ProjectRestApiApplication.logStarted(59) - Started ProjectRestApiApplication in 17.676 seconds (process running for 19.081)
2025-05-29 10:19:34.453 [restartedMain] INFO  c.project.ProjectRestApiApplication.logStarting(53) - Starting ProjectRestApiApplication using Java 23.0.2 with PID 26308 (C:\Users\miche\Downloads\project-rest-api\build\classes\java\main started by miche in C:\Users\miche\Downloads\project-rest-api)
2025-05-29 10:19:34.454 [restartedMain] INFO  c.project.ProjectRestApiApplication.logStartupProfileInfo(652) - No active profile set, falling back to 1 default profile: "default"
2025-05-29 10:19:42.404 [restartedMain] INFO  c.project.ProjectRestApiApplication.logStarting(53) - Starting ProjectRestApiApplication using Java 23.0.2 with PID 11304 (C:\Users\miche\Downloads\project-rest-api\build\classes\java\main started by miche in C:\Users\miche\Downloads\project-rest-api)
2025-05-29 10:19:42.406 [restartedMain] INFO  c.project.ProjectRestApiApplication.logStartupProfileInfo(652) - No active profile set, falling back to 1 default profile: "default"
2025-05-29 10:19:51.656 [restartedMain] INFO  c.project.ProjectRestApiApplication.logStarted(59) - Started ProjectRestApiApplication in 10.081 seconds (process running for 11.104)
2025-05-29 10:53:03.029 [Test worker] INFO  c.p.p.ProjektRestControllerIntegrationTest.logStarting(53) - Starting ProjektRestControllerIntegrationTest using Java 23.0.2 with PID 20912 (started by miche in C:\Users\miche\Downloads\project-rest-api)
2025-05-29 10:53:03.033 [Test worker] INFO  c.p.p.ProjektRestControllerIntegrationTest.logStartupProfileInfo(652) - No active profile set, falling back to 1 default profile: "default"
2025-05-29 10:53:15.038 [Test worker] INFO  c.p.p.ProjektRestControllerIntegrationTest.logStarted(59) - Started ProjektRestControllerIntegrationTest in 12.737 seconds (process running for 14.943)
